id;chain_name;hotel_name;description;email;country;city;street;number;room_type;capacity;price;room_number;checkin;checkout;status;rating;comment;review_date
142;Hyatt;Hyatt Sea View;Sea View description;info142@hotel.com;Ukraine;Lviv;Shevchenka;58;Double;2;210;336;2024-01-13;2024-01-16;checked-in;4;Good hotel;2024-01-13
143;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info143@hotel.com;Ukraine;Lviv;Shevchenka;20;Suite;3;260;336;2024-10-17;2024-10-23;checked-out;2;Good hotel;2024-10-17
144;Hilton;Hilton City Inn;City Inn description;info144@hotel.com;Ukraine;Lviv;Shevchenka;97;Suite;1;264;165;2024-02-07;2024-02-10;checked-in;5;Good hotel;2024-02-07
145;Hilton;Hilton City Inn;City Inn description;info145@hotel.com;Ukraine;Lviv;Shevchenka;80;Single;3;275;412;2024-09-06;2024-09-11;checked-out;2;Good hotel;2024-09-06
146;Accor;Accor Sea View;Sea View description;info146@hotel.com;Ukraine;Odesa;Shevchenka;41;Suite;2;83;494;2024-04-06;2024-04-08;checked-out;4;Good hotel;2024-04-06
147;Marriott;Marriott Mountain Resort;Mountain Resort description;info147@hotel.com;Ukraine;Kyiv;Shevchenka;53;Suite;3;144;166;2024-01-23;2024-01-24;checked-out;1;Good hotel;2024-01-23
148;Accor;Accor Grand Hotel;Grand Hotel description;info148@hotel.com;Ukraine;Dnipro;Shevchenka;75;Suite;3;146;172;2024-07-27;2024-07-30;checked-in;3;Good hotel;2024-07-27
149;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info149@hotel.com;Ukraine;Kyiv;Shevchenka;89;Double;2;127;337;2024-06-26;2024-06-30;confirmed;2;Good hotel;2024-06-26
150;Hilton;Hilton Sea View;Sea View description;info150@hotel.com;Ukraine;Kyiv;Shevchenka;31;Suite;1;92;127;2024-03-26;2024-04-02;checked-in;4;Good hotel;2024-03-26
151;Hilton;Hilton City Inn;City Inn description;info151@hotel.com;Ukraine;Dnipro;Shevchenka;99;Single;2;209;94;2024-05-22;2024-05-27;checked-in;1;Good hotel;2024-05-22
152;Hilton;Hilton Grand Hotel;Grand Hotel description;info152@hotel.com;Ukraine;Dnipro;Shevchenka;34;Single;4;300;134;2024-07-27;2024-08-01;checked-in;1;Good hotel;2024-07-27
153;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info153@hotel.com;Ukraine;Dnipro;Shevchenka;15;Double;1;158;155;2024-12-14;2024-12-17;confirmed;4;Good hotel;2024-12-14
154;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info154@hotel.com;Ukraine;Kyiv;Shevchenka;56;Double;4;282;250;2024-02-03;2024-02-06;checked-in;2;Good hotel;2024-02-03
155;Hyatt;Hyatt Sea View;Sea View description;info155@hotel.com;Ukraine;Odesa;Shevchenka;20;Double;2;133;256;2024-12-01;2024-12-06;checked-in;1;Good hotel;2024-12-01
156;Marriott;Marriott Sea View;Sea View description;info156@hotel.com;Ukraine;Kyiv;Shevchenka;54;Suite;2;71;400;2024-03-19;2024-03-25;pending;4;Good hotel;2024-03-19
157;Accor;Accor Mountain Resort;Mountain Resort description;info157@hotel.com;Ukraine;Kyiv;Shevchenka;41;Single;1;83;213;2024-09-02;2024-09-08;confirmed;1;Good hotel;2024-09-02
158;Hyatt;Hyatt Sea View;Sea View description;info158@hotel.com;Ukraine;Dnipro;Shevchenka;93;Single;2;62;433;2024-03-30;2024-04-01;pending;1;Good hotel;2024-03-30
159;Marriott;Marriott City Inn;City Inn description;info159@hotel.com;Ukraine;Kyiv;Shevchenka;23;Single;4;83;351;2024-11-28;2024-12-02;checked-out;4;Good hotel;2024-11-28
160;Radisson;Radisson Grand Hotel;Grand Hotel description;info160@hotel.com;Ukraine;Odesa;Shevchenka;8;Double;2;250;404;2024-01-14;2024-01-20;checked-out;3;Good hotel;2024-01-14
161;Marriott;Marriott Sea View;Sea View description;info161@hotel.com;Ukraine;Kyiv;Shevchenka;64;Single;1;230;434;2024-05-10;2024-05-12;checked-out;1;Good hotel;2024-05-10
162;Hilton;Hilton City Inn;City Inn description;info162@hotel.com;Ukraine;Lviv;Shevchenka;69;Double;2;238;391;2024-05-07;2024-05-13;confirmed;3;Good hotel;2024-05-07
163;Accor;Accor Sea View;Sea View description;info163@hotel.com;Ukraine;Lviv;Shevchenka;49;Suite;3;50;201;2024-06-24;2024-06-30;checked-in;3;Good hotel;2024-06-24
164;Hyatt;Hyatt City Inn;City Inn description;info164@hotel.com;Ukraine;Dnipro;Shevchenka;13;Suite;4;160;492;2024-10-20;2024-10-24;checked-out;2;Good hotel;2024-10-20
165;Marriott;Marriott Mountain Resort;Mountain Resort description;info165@hotel.com;Ukraine;Lviv;Shevchenka;79;Single;2;201;140;2024-03-04;2024-03-10;checked-out;2;Good hotel;2024-03-04
166;Radisson;Radisson Mountain Resort;Mountain Resort description;info166@hotel.com;Ukraine;Lviv;Shevchenka;44;Double;3;182;68;2024-06-05;2024-06-10;confirmed;4;Good hotel;2024-06-05
167;Accor;Accor Sea View;Sea View description;info167@hotel.com;Ukraine;Lviv;Shevchenka;44;Double;3;200;235;2024-04-11;2024-04-13;checked-out;4;Good hotel;2024-04-11
168;Accor;Accor Mountain Resort;Mountain Resort description;info168@hotel.com;Ukraine;Dnipro;Shevchenka;6;Suite;1;239;309;2024-11-29;2024-12-04;confirmed;4;Good hotel;2024-11-29
169;Radisson;Radisson Sea View;Sea View description;info169@hotel.com;Ukraine;Kyiv;Shevchenka;97;Double;4;170;61;2024-08-22;2024-08-29;confirmed;5;Good hotel;2024-08-22
170;Marriott;Marriott Grand Hotel;Grand Hotel description;info170@hotel.com;Ukraine;Odesa;Shevchenka;24;Single;1;141;353;2024-09-29;2024-10-06;checked-in;4;Good hotel;2024-09-29
171;Accor;Accor City Inn;City Inn description;info171@hotel.com;Ukraine;Dnipro;Shevchenka;15;Suite;1;82;498;2024-01-13;2024-01-15;pending;1;Good hotel;2024-01-13
172;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info172@hotel.com;Ukraine;Kyiv;Shevchenka;1;Single;4;94;372;2024-11-06;2024-11-13;confirmed;4;Good hotel;2024-11-06
173;Marriott;Marriott City Inn;City Inn description;info173@hotel.com;Ukraine;Lviv;Shevchenka;24;Double;4;214;176;2024-04-21;2024-04-23;checked-in;1;Good hotel;2024-04-21
174;Radisson;Radisson Mountain Resort;Mountain Resort description;info174@hotel.com;Ukraine;Lviv;Shevchenka;49;Suite;3;284;132;2024-06-07;2024-06-08;checked-in;5;Good hotel;2024-06-07
175;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info175@hotel.com;Ukraine;Lviv;Shevchenka;48;Double;2;188;387;2024-08-27;2024-09-03;pending;2;Good hotel;2024-08-27
176;Hilton;Hilton City Inn;City Inn description;info176@hotel.com;Ukraine;Dnipro;Shevchenka;99;Suite;1;78;16;2024-06-05;2024-06-06;checked-out;1;Good hotel;2024-06-05
177;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info177@hotel.com;Ukraine;Odesa;Shevchenka;49;Single;3;209;178;2024-04-25;2024-05-01;checked-in;5;Good hotel;2024-04-25
178;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info178@hotel.com;Ukraine;Dnipro;Shevchenka;93;Single;1;183;483;2024-12-13;2024-12-15;confirmed;2;Good hotel;2024-12-13
179;Radisson;Radisson Mountain Resort;Mountain Resort description;info179@hotel.com;Ukraine;Odesa;Shevchenka;78;Suite;4;264;43;2024-07-25;2024-07-29;pending;1;Good hotel;2024-07-25
180;Hilton;Hilton City Inn;City Inn description;info180@hotel.com;Ukraine;Lviv;Shevchenka;75;Suite;4;72;366;2024-08-26;2024-08-31;pending;4;Good hotel;2024-08-26
181;Hilton;Hilton Grand Hotel;Grand Hotel description;info181@hotel.com;Ukraine;Odesa;Shevchenka;65;Single;1;208;231;2024-06-21;2024-06-27;pending;1;Good hotel;2024-06-21
182;Hyatt;Hyatt Sea View;Sea View description;info182@hotel.com;Ukraine;Dnipro;Shevchenka;40;Double;2;158;296;2024-01-28;2024-02-01;checked-out;3;Good hotel;2024-01-28
183;Hilton;Hilton Mountain Resort;Mountain Resort description;info183@hotel.com;Ukraine;Dnipro;Shevchenka;85;Suite;1;125;305;2024-06-14;2024-06-17;checked-out;3;Good hotel;2024-06-14
184;Hyatt;Hyatt City Inn;City Inn description;info184@hotel.com;Ukraine;Kyiv;Shevchenka;52;Suite;4;223;326;2024-10-23;2024-10-28;confirmed;2;Good hotel;2024-10-23
185;Accor;Accor Sea View;Sea View description;info185@hotel.com;Ukraine;Dnipro;Shevchenka;93;Double;2;188;125;2024-10-16;2024-10-19;checked-out;3;Good hotel;2024-10-16
186;Radisson;Radisson Grand Hotel;Grand Hotel description;info186@hotel.com;Ukraine;Kyiv;Shevchenka;38;Suite;1;177;308;2024-06-27;2024-06-29;confirmed;3;Good hotel;2024-06-27
187;Accor;Accor Grand Hotel;Grand Hotel description;info187@hotel.com;Ukraine;Lviv;Shevchenka;91;Double;3;117;436;2024-08-29;2024-08-30;checked-out;2;Good hotel;2024-08-29
188;Radisson;Radisson City Inn;City Inn description;info188@hotel.com;Ukraine;Lviv;Shevchenka;43;Suite;3;281;36;2024-03-25;2024-03-28;confirmed;2;Good hotel;2024-03-25
189;Hilton;Hilton Sea View;Sea View description;info189@hotel.com;Ukraine;Lviv;Shevchenka;53;Suite;2;108;281;2024-04-09;2024-04-12;confirmed;2;Good hotel;2024-04-09
190;Hilton;Hilton City Inn;City Inn description;info190@hotel.com;Ukraine;Dnipro;Shevchenka;18;Single;2;127;298;2024-08-08;2024-08-15;checked-out;2;Good hotel;2024-08-08
191;Radisson;Radisson Sea View;Sea View description;info191@hotel.com;Ukraine;Odesa;Shevchenka;86;Suite;1;133;398;2024-09-03;2024-09-10;checked-out;4;Good hotel;2024-09-03
192;Marriott;Marriott Sea View;Sea View description;info192@hotel.com;Ukraine;Odesa;Shevchenka;73;Suite;3;210;191;2024-07-31;2024-08-07;confirmed;5;Good hotel;2024-07-31
193;Radisson;Radisson Grand Hotel;Grand Hotel description;info193@hotel.com;Ukraine;Odesa;Shevchenka;87;Double;1;81;288;2024-01-30;2024-02-01;checked-in;5;Good hotel;2024-01-30
194;Radisson;Radisson Grand Hotel;Grand Hotel description;info194@hotel.com;Ukraine;Odesa;Shevchenka;94;Single;2;150;261;2024-05-01;2024-05-08;checked-out;3;Good hotel;2024-05-01
195;Accor;Accor Grand Hotel;Grand Hotel description;info195@hotel.com;Ukraine;Odesa;Shevchenka;59;Single;3;78;317;2024-06-24;2024-06-27;checked-out;2;Good hotel;2024-06-24
196;Accor;Accor Sea View;Sea View description;info196@hotel.com;Ukraine;Kyiv;Shevchenka;38;Single;3;223;307;2024-08-26;2024-08-28;pending;5;Good hotel;2024-08-26
197;Hyatt;Hyatt Sea View;Sea View description;info197@hotel.com;Ukraine;Dnipro;Shevchenka;78;Suite;1;90;398;2024-02-05;2024-02-07;checked-out;5;Good hotel;2024-02-05
198;Marriott;Marriott Grand Hotel;Grand Hotel description;info198@hotel.com;Ukraine;Dnipro;Shevchenka;48;Double;2;201;489;2024-09-06;2024-09-12;checked-out;4;Good hotel;2024-09-06
199;Accor;Accor Sea View;Sea View description;info199@hotel.com;Ukraine;Dnipro;Shevchenka;24;Double;4;104;351;2024-12-31;2025-01-06;checked-out;5;Good hotel;2024-12-31
200;Hilton;Hilton Sea View;Sea View description;info200@hotel.com;Ukraine;Dnipro;Shevchenka;65;Single;4;176;17;2024-01-07;2024-01-13;checked-in;3;Good hotel;2024-01-07
201;Hilton;Hilton Grand Hotel;Grand Hotel description;info201@hotel.com;Ukraine;Kyiv;Shevchenka;30;Double;4;213;102;2024-04-04;2024-04-08;pending;2;Good hotel;2024-04-04
202;Accor;Accor Sea View;Sea View description;info202@hotel.com;Ukraine;Odesa;Shevchenka;24;Suite;2;104;162;2024-05-27;2024-05-28;checked-out;2;Good hotel;2024-05-27
203;Accor;Accor City Inn;City Inn description;info203@hotel.com;Ukraine;Lviv;Shevchenka;62;Single;3;240;263;2024-03-28;2024-03-30;confirmed;5;Good hotel;2024-03-28
204;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info204@hotel.com;Ukraine;Lviv;Shevchenka;81;Suite;3;245;358;2024-06-25;2024-06-27;checked-out;5;Good hotel;2024-06-25
205;Radisson;Radisson Grand Hotel;Grand Hotel description;info205@hotel.com;Ukraine;Odesa;Shevchenka;13;Single;4;74;339;2024-03-10;2024-03-17;pending;3;Good hotel;2024-03-10
206;Hilton;Hilton Sea View;Sea View description;info206@hotel.com;Ukraine;Kyiv;Shevchenka;70;Double;4;189;356;2024-02-20;2024-02-27;confirmed;2;Good hotel;2024-02-20
207;Marriott;Marriott City Inn;City Inn description;info207@hotel.com;Ukraine;Kyiv;Shevchenka;69;Suite;3;69;18;2024-09-27;2024-09-30;pending;5;Good hotel;2024-09-27
208;Radisson;Radisson Sea View;Sea View description;info208@hotel.com;Ukraine;Kyiv;Shevchenka;69;Double;1;273;383;2024-03-26;2024-04-02;confirmed;4;Good hotel;2024-03-26
209;Accor;Accor Sea View;Sea View description;info209@hotel.com;Ukraine;Kyiv;Shevchenka;85;Suite;3;121;45;2024-04-21;2024-04-26;confirmed;3;Good hotel;2024-04-21
210;Hyatt;Hyatt Sea View;Sea View description;info210@hotel.com;Ukraine;Lviv;Shevchenka;63;Suite;4;55;351;2024-04-29;2024-05-05;pending;1;Good hotel;2024-04-29
211;Hyatt;Hyatt City Inn;City Inn description;info211@hotel.com;Ukraine;Dnipro;Shevchenka;64;Single;4;142;464;2024-10-08;2024-10-11;confirmed;4;Good hotel;2024-10-08
212;Radisson;Radisson Mountain Resort;Mountain Resort description;info212@hotel.com;Ukraine;Odesa;Shevchenka;85;Double;3;73;113;2024-06-17;2024-06-18;confirmed;4;Good hotel;2024-06-17
213;Hilton;Hilton Mountain Resort;Mountain Resort description;info213@hotel.com;Ukraine;Dnipro;Shevchenka;27;Double;1;276;386;2024-10-01;2024-10-02;checked-in;5;Good hotel;2024-10-01
214;Radisson;Radisson Mountain Resort;Mountain Resort description;info214@hotel.com;Ukraine;Kyiv;Shevchenka;70;Single;3;281;79;2024-09-29;2024-10-01;checked-in;5;Good hotel;2024-09-29
215;Marriott;Marriott Grand Hotel;Grand Hotel description;info215@hotel.com;Ukraine;Dnipro;Shevchenka;93;Suite;2;61;267;2024-10-22;2024-10-29;checked-out;5;Good hotel;2024-10-22
216;Accor;Accor Grand Hotel;Grand Hotel description;info216@hotel.com;Ukraine;Lviv;Shevchenka;28;Double;3;52;390;2024-05-13;2024-05-18;checked-in;4;Good hotel;2024-05-13
217;Marriott;Marriott Sea View;Sea View description;info217@hotel.com;Ukraine;Odesa;Shevchenka;98;Double;3;209;124;2024-10-19;2024-10-20;checked-out;3;Good hotel;2024-10-19
218;Hilton;Hilton City Inn;City Inn description;info218@hotel.com;Ukraine;Kyiv;Shevchenka;79;Single;4;132;33;2024-07-11;2024-07-15;confirmed;3;Good hotel;2024-07-11
219;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info219@hotel.com;Ukraine;Odesa;Shevchenka;75;Single;4;173;359;2024-08-20;2024-08-24;checked-out;2;Good hotel;2024-08-20
220;Accor;Accor Grand Hotel;Grand Hotel description;info220@hotel.com;Ukraine;Dnipro;Shevchenka;16;Single;3;129;41;2024-10-19;2024-10-23;checked-out;1;Good hotel;2024-10-19
221;Accor;Accor City Inn;City Inn description;info221@hotel.com;Ukraine;Kyiv;Shevchenka;99;Double;1;245;206;2024-04-22;2024-04-28;pending;4;Good hotel;2024-04-22
222;Marriott;Marriott City Inn;City Inn description;info222@hotel.com;Ukraine;Kyiv;Shevchenka;30;Suite;3;152;160;2024-10-09;2024-10-13;checked-in;5;Good hotel;2024-10-09
223;Accor;Accor Sea View;Sea View description;info223@hotel.com;Ukraine;Kyiv;Shevchenka;7;Single;4;285;486;2024-07-28;2024-08-01;checked-in;5;Good hotel;2024-07-28
224;Accor;Accor Grand Hotel;Grand Hotel description;info224@hotel.com;Ukraine;Kyiv;Shevchenka;60;Suite;2;263;127;2024-09-30;2024-10-02;checked-out;2;Good hotel;2024-09-30
225;Hyatt;Hyatt Sea View;Sea View description;info225@hotel.com;Ukraine;Kyiv;Shevchenka;77;Double;2;78;165;2024-12-25;2025-01-01;confirmed;1;Good hotel;2024-12-25
226;Marriott;Marriott Mountain Resort;Mountain Resort description;info226@hotel.com;Ukraine;Kyiv;Shevchenka;55;Suite;3;164;496;2024-02-03;2024-02-04;checked-in;1;Good hotel;2024-02-03
227;Radisson;Radisson Sea View;Sea View description;info227@hotel.com;Ukraine;Dnipro;Shevchenka;98;Single;4;53;351;2024-12-16;2024-12-20;pending;4;Good hotel;2024-12-16
228;Marriott;Marriott City Inn;City Inn description;info228@hotel.com;Ukraine;Kyiv;Shevchenka;10;Suite;4;228;350;2024-08-23;2024-08-26;confirmed;5;Good hotel;2024-08-23
229;Hilton;Hilton Mountain Resort;Mountain Resort description;info229@hotel.com;Ukraine;Kyiv;Shevchenka;7;Single;3;88;61;2024-08-22;2024-08-28;checked-out;1;Good hotel;2024-08-22
230;Marriott;Marriott City Inn;City Inn description;info230@hotel.com;Ukraine;Odesa;Shevchenka;18;Single;3;133;198;2024-02-22;2024-02-29;pending;3;Good hotel;2024-02-22
231;Accor;Accor Sea View;Sea View description;info231@hotel.com;Ukraine;Lviv;Shevchenka;71;Suite;4;182;345;2024-11-14;2024-11-16;pending;4;Good hotel;2024-11-14
232;Radisson;Radisson City Inn;City Inn description;info232@hotel.com;Ukraine;Kyiv;Shevchenka;40;Single;3;108;458;2024-11-22;2024-11-25;checked-out;5;Good hotel;2024-11-22
233;Marriott;Marriott City Inn;City Inn description;info233@hotel.com;Ukraine;Kyiv;Shevchenka;33;Double;2;97;279;2024-12-26;2025-01-01;pending;2;Good hotel;2024-12-26
234;Hilton;Hilton Grand Hotel;Grand Hotel description;info234@hotel.com;Ukraine;Kyiv;Shevchenka;13;Double;4;94;388;2024-09-04;2024-09-11;confirmed;4;Good hotel;2024-09-04
235;Radisson;Radisson Mountain Resort;Mountain Resort description;info235@hotel.com;Ukraine;Kyiv;Shevchenka;65;Suite;1;62;345;2024-07-30;2024-07-31;pending;3;Good hotel;2024-07-30
236;Hilton;Hilton Grand Hotel;Grand Hotel description;info236@hotel.com;Ukraine;Odesa;Shevchenka;31;Suite;2;125;27;2024-03-12;2024-03-17;pending;3;Good hotel;2024-03-12
237;Hilton;Hilton Mountain Resort;Mountain Resort description;info237@hotel.com;Ukraine;Dnipro;Shevchenka;89;Single;1;160;273;2024-05-26;2024-05-30;confirmed;2;Good hotel;2024-05-26
238;Accor;Accor Mountain Resort;Mountain Resort description;info238@hotel.com;Ukraine;Kyiv;Shevchenka;45;Suite;2;144;299;2024-09-03;2024-09-09;confirmed;1;Good hotel;2024-09-03
239;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info239@hotel.com;Ukraine;Lviv;Shevchenka;54;Single;4;157;379;2024-08-22;2024-08-25;checked-in;3;Good hotel;2024-08-22
240;Radisson;Radisson City Inn;City Inn description;info240@hotel.com;Ukraine;Dnipro;Shevchenka;85;Single;4;253;269;2024-05-12;2024-05-16;pending;5;Good hotel;2024-05-12
241;Marriott;Marriott Sea View;Sea View description;info241@hotel.com;Ukraine;Kyiv;Shevchenka;32;Suite;3;168;462;2024-01-23;2024-01-29;confirmed;2;Good hotel;2024-01-23
242;Radisson;Radisson Sea View;Sea View description;info242@hotel.com;Ukraine;Odesa;Shevchenka;72;Single;2;144;332;2024-07-30;2024-08-02;checked-out;2;Good hotel;2024-07-30
243;Accor;Accor Mountain Resort;Mountain Resort description;info243@hotel.com;Ukraine;Lviv;Shevchenka;95;Double;2;81;298;2024-10-01;2024-10-08;checked-out;3;Good hotel;2024-10-01
244;Accor;Accor Grand Hotel;Grand Hotel description;info244@hotel.com;Ukraine;Odesa;Shevchenka;68;Single;1;298;54;2024-06-19;2024-06-22;checked-in;1;Good hotel;2024-06-19
245;Accor;Accor Grand Hotel;Grand Hotel description;info245@hotel.com;Ukraine;Odesa;Shevchenka;23;Double;2;108;404;2024-07-19;2024-07-20;confirmed;2;Good hotel;2024-07-19
246;Accor;Accor Sea View;Sea View description;info246@hotel.com;Ukraine;Dnipro;Shevchenka;46;Double;3;99;121;2024-06-25;2024-06-28;pending;4;Good hotel;2024-06-25
247;Accor;Accor Sea View;Sea View description;info247@hotel.com;Ukraine;Dnipro;Shevchenka;52;Double;3;125;411;2024-09-16;2024-09-22;checked-in;3;Good hotel;2024-09-16
248;Radisson;Radisson Grand Hotel;Grand Hotel description;info248@hotel.com;Ukraine;Dnipro;Shevchenka;85;Suite;3;50;294;2024-12-11;2024-12-18;pending;3;Good hotel;2024-12-11
249;Radisson;Radisson City Inn;City Inn description;info249@hotel.com;Ukraine;Kyiv;Shevchenka;87;Suite;1;152;458;2024-04-10;2024-04-11;checked-out;2;Good hotel;2024-04-10
250;Hilton;Hilton Sea View;Sea View description;info250@hotel.com;Ukraine;Odesa;Shevchenka;31;Suite;4;95;163;2024-10-23;2024-10-29;confirmed;5;Good hotel;2024-10-23
251;Marriott;Marriott Grand Hotel;Grand Hotel description;info251@hotel.com;Ukraine;Odesa;Shevchenka;24;Suite;2;110;155;2024-05-04;2024-05-08;checked-out;1;Good hotel;2024-05-04
252;Hyatt;Hyatt City Inn;City Inn description;info252@hotel.com;Ukraine;Odesa;Shevchenka;3;Single;1;246;380;2024-12-05;2024-12-08;confirmed;2;Good hotel;2024-12-05
253;Radisson;Radisson Sea View;Sea View description;info253@hotel.com;Ukraine;Odesa;Shevchenka;95;Suite;2;105;110;2024-06-21;2024-06-27;pending;1;Good hotel;2024-06-21
254;Hyatt;Hyatt Sea View;Sea View description;info254@hotel.com;Ukraine;Lviv;Shevchenka;10;Double;4;136;370;2024-04-14;2024-04-15;checked-out;1;Good hotel;2024-04-14
255;Hyatt;Hyatt Sea View;Sea View description;info255@hotel.com;Ukraine;Lviv;Shevchenka;28;Double;2;194;5;2024-10-16;2024-10-21;checked-out;4;Good hotel;2024-10-16
256;Marriott;Marriott Mountain Resort;Mountain Resort description;info256@hotel.com;Ukraine;Dnipro;Shevchenka;16;Single;1;217;149;2024-08-24;2024-08-28;checked-in;3;Good hotel;2024-08-24
257;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info257@hotel.com;Ukraine;Lviv;Shevchenka;35;Double;1;58;58;2024-07-27;2024-07-28;pending;3;Good hotel;2024-07-27
258;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info258@hotel.com;Ukraine;Kyiv;Shevchenka;71;Double;2;178;125;2024-11-24;2024-11-25;checked-in;4;Good hotel;2024-11-24
259;Marriott;Marriott Grand Hotel;Grand Hotel description;info259@hotel.com;Ukraine;Odesa;Shevchenka;9;Suite;3;277;254;2024-05-27;2024-05-29;confirmed;4;Good hotel;2024-05-27
260;Accor;Accor City Inn;City Inn description;info260@hotel.com;Ukraine;Odesa;Shevchenka;3;Double;2;278;251;2024-01-22;2024-01-29;checked-in;4;Good hotel;2024-01-22
261;Hyatt;Hyatt City Inn;City Inn description;info261@hotel.com;Ukraine;Lviv;Shevchenka;42;Single;3;221;189;2024-02-10;2024-02-16;pending;2;Good hotel;2024-02-10
262;Hyatt;Hyatt Sea View;Sea View description;info262@hotel.com;Ukraine;Lviv;Shevchenka;83;Double;4;144;242;2024-06-03;2024-06-04;confirmed;2;Good hotel;2024-06-03
263;Marriott;Marriott Sea View;Sea View description;info263@hotel.com;Ukraine;Kyiv;Shevchenka;9;Suite;4;297;323;2024-12-13;2024-12-19;checked-in;4;Good hotel;2024-12-13
264;Radisson;Radisson Sea View;Sea View description;info264@hotel.com;Ukraine;Odesa;Shevchenka;73;Single;2;111;380;2024-04-16;2024-04-21;checked-in;2;Good hotel;2024-04-16
265;Accor;Accor Sea View;Sea View description;info265@hotel.com;Ukraine;Odesa;Shevchenka;48;Suite;3;199;253;2024-04-21;2024-04-22;checked-out;5;Good hotel;2024-04-21
266;Hyatt;Hyatt City Inn;City Inn description;info266@hotel.com;Ukraine;Lviv;Shevchenka;63;Single;4;124;82;2024-09-23;2024-09-26;checked-in;5;Good hotel;2024-09-23
267;Hilton;Hilton Mountain Resort;Mountain Resort description;info267@hotel.com;Ukraine;Dnipro;Shevchenka;70;Double;2;257;102;2024-11-22;2024-11-23;checked-in;4;Good hotel;2024-11-22
268;Hilton;Hilton Sea View;Sea View description;info268@hotel.com;Ukraine;Odesa;Shevchenka;17;Suite;1;160;375;2024-05-27;2024-05-29;checked-out;3;Good hotel;2024-05-27
269;Accor;Accor City Inn;City Inn description;info269@hotel.com;Ukraine;Odesa;Shevchenka;52;Single;4;75;12;2024-09-23;2024-09-25;confirmed;5;Good hotel;2024-09-23
270;Radisson;Radisson Mountain Resort;Mountain Resort description;info270@hotel.com;Ukraine;Lviv;Shevchenka;18;Single;2;134;25;2024-09-14;2024-09-17;pending;3;Good hotel;2024-09-14
271;Hyatt;Hyatt City Inn;City Inn description;info271@hotel.com;Ukraine;Dnipro;Shevchenka;39;Single;2;89;158;2024-09-07;2024-09-09;pending;2;Good hotel;2024-09-07
272;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info272@hotel.com;Ukraine;Kyiv;Shevchenka;19;Single;2;267;140;2024-07-22;2024-07-27;confirmed;3;Good hotel;2024-07-22
273;Radisson;Radisson Grand Hotel;Grand Hotel description;info273@hotel.com;Ukraine;Lviv;Shevchenka;65;Double;1;81;443;2024-01-13;2024-01-20;checked-in;3;Good hotel;2024-01-13
274;Hilton;Hilton Grand Hotel;Grand Hotel description;info274@hotel.com;Ukraine;Lviv;Shevchenka;98;Suite;2;256;60;2024-10-22;2024-10-28;pending;5;Good hotel;2024-10-22
275;Accor;Accor Mountain Resort;Mountain Resort description;info275@hotel.com;Ukraine;Odesa;Shevchenka;83;Double;4;89;216;2024-04-03;2024-04-04;pending;3;Good hotel;2024-04-03
276;Accor;Accor Grand Hotel;Grand Hotel description;info276@hotel.com;Ukraine;Lviv;Shevchenka;22;Double;3;180;4;2024-01-02;2024-01-05;pending;3;Good hotel;2024-01-02
277;Radisson;Radisson Grand Hotel;Grand Hotel description;info277@hotel.com;Ukraine;Odesa;Shevchenka;32;Suite;4;133;157;2024-02-17;2024-02-22;confirmed;1;Good hotel;2024-02-17
278;Hilton;Hilton City Inn;City Inn description;info278@hotel.com;Ukraine;Odesa;Shevchenka;35;Suite;2;134;381;2024-12-08;2024-12-09;pending;3;Good hotel;2024-12-08
279;Hilton;Hilton Grand Hotel;Grand Hotel description;info279@hotel.com;Ukraine;Kyiv;Shevchenka;95;Single;3;112;162;2024-07-12;2024-07-17;checked-in;2;Good hotel;2024-07-12
280;Accor;Accor Grand Hotel;Grand Hotel description;info280@hotel.com;Ukraine;Kyiv;Shevchenka;85;Single;1;90;38;2024-11-15;2024-11-18;checked-in;4;Good hotel;2024-11-15
281;Radisson;Radisson City Inn;City Inn description;info281@hotel.com;Ukraine;Lviv;Shevchenka;43;Double;1;128;269;2024-10-26;2024-10-27;pending;3;Good hotel;2024-10-26
282;Marriott;Marriott Mountain Resort;Mountain Resort description;info282@hotel.com;Ukraine;Kyiv;Shevchenka;16;Single;2;228;381;2024-09-29;2024-09-30;pending;4;Good hotel;2024-09-29
283;Marriott;Marriott Grand Hotel;Grand Hotel description;info283@hotel.com;Ukraine;Odesa;Shevchenka;99;Double;3;147;390;2024-02-05;2024-02-12;pending;3;Good hotel;2024-02-05
284;Accor;Accor City Inn;City Inn description;info284@hotel.com;Ukraine;Dnipro;Shevchenka;26;Single;3;99;11;2024-08-16;2024-08-21;pending;1;Good hotel;2024-08-16
